Source,Target,Type,Id,Label,Weight,Color
11545,555099241,Directed,0,,1,"#000000"
12306,19907166,Directed,1,,1,"#000000"
12306,111132067,Directed,2,,1,"#000000"
12306,607602141,Directed,3,,2,"#000000"
35993,208676931,Directed,4,,1,"#000000"
35993,597825672,Directed,5,,1,"#000000"
35993,2159060402,Directed,6,,1,"#000000"
35993,2439975073,Directed,7,,1,"#000000"
35993,1243236136765489152,Directed,8,,1,"#000000"
61253,9758512,Directed,9,,2,"#000000"
61253,15901999,Directed,10,,1,"#000000"
61253,54237742,Directed,11,,3,"#000000"
61253,471926670,Directed,12,,1,"#000000"
61253,631260803,Directed,13,,1,"#000000"
61253,4048650860,Directed,14,,1,"#000000"
61253,956187441857290242,Directed,15,,5,"#000000"
62963,52210899,Directed,16,,1,"#000000"
62963,144804999,Directed,17,,1,"#000000"
62963,1417666956,Directed,18,,1,"#000000"
62963,2857319315,Directed,19,,1,"#000000"
62963,725445697382809600,Directed,20,,1,"#000000"
62963,4898171715,Directed,21,,1,"#000000"
712963,712963,Directed,22,,1,"#000000"
712963,15661113,Directed,23,,1,"#000000"
712963,16240799,Directed,24,,1,"#000000"
712963,17471538,Directed,25,,1,"#000000"
712963,42648852,Directed,26,,1,"#000000"
712963,57976060,Directed,27,,1,"#000000"
712963,106041193,Directed,28,,1,"#000000"
712963,241116398,Directed,29,,5,"#000000"
712963,248631775,Directed,30,,2,"#000000"
712963,259256881,Directed,31,,1,"#000000"
712963,331064775,Directed,32,,1,"#000000"
712963,434968866,Directed,33,,1,"#000000"
712963,622908793,Directed,34,,7,"#000000"
712963,1192958954,Directed,35,,7,"#000000"
712963,2168288684,Directed,36,,1,"#000000"
712963,2832562473,Directed,37,,2,"#000000"
712963,2938341550,Directed,38,,2,"#000000"
712963,3037264229,Directed,39,,1,"#000000"
712963,1025711423970848768,Directed,40,,1,"#000000"
731833,2890465774,Directed,41,,1,"#000000"
732943,2857319315,Directed,42,,1,"#000000"
760807,760807,Directed,43,,1,"#000000"
760807,18242628,Directed,44,,1,"#000000"
760807,66703068,Directed,45,,1,"#000000"
760807,548901829,Directed,46,,1,"#000000"
762426,43664690,Directed,47,,1,"#000000"
762426,466903436,Directed,48,,1,"#000000"
768841,224331457,Directed,49,,1,"#000000"
782482,18059285,Directed,50,,1,"#000000"
782482,43379739,Directed,51,,1,"#000000"
782482,404442001,Directed,52,,1,"#000000"
782482,607602141,Directed,53,,1,"#000000"
784885,1302422896644632577,Directed,54,,1,"#000000"
789833,350411337,Directed,55,,1,"#000000"
792920,33832669,Directed,56,,1,"#000000"
792920,595588585,Directed,57,,1,"#000000"
792920,1548791382,Directed,58,,1,"#000000"
803441,1217118984,Directed,59,,1,"#000000"
819051,94114407,Directed,60,,1,"#000000"
823057,507482535,Directed,62,,1,"#000000"
823057,1379360130131693569,Directed,63,,1,"#000000"
941401,11332442,Directed,64,,5,"#000000"
941401,331064775,Directed,65,,1,"#000000"
941401,630311428,Directed,66,,1,"#000000"
941401,747721267982237696,Directed,67,,1,"#000000"
941401,966406486766292992,Directed,68,,1,"#000000"
941401,911193053641273344,Directed,69,,1,"#000000"
1091241,1417666956,Directed,70,,1,"#000000"
1091241,3568118183,Directed,71,,1,"#000000"
1095651,9846452,Directed,72,,1,"#000000"
1200241,2526751470,Directed,73,,1,"#000000"
1200241,712642114681704448,Directed,74,,1,"#000000"
1275921,18059285,Directed,75,,1,"#000000"
1347441,77019067,Directed,76,,1,"#000000"
1527461,2168288684,Directed,77,,2,"#000000"
1550681,816178,Directed,78,,1,"#000000"
1550681,876335550,Directed,79,,1,"#000000"
1589381,607602141,Directed,80,,1,"#000000"
1782991,35043821,Directed,81,,1,"#000000"
1782991,52613498,Directed,82,,1,"#000000"
1782991,701967595,Directed,83,,2,"#000000"
1818181,12725692,Directed,84,,1,"#000000"
1818181,15947173,Directed,85,,1,"#000000"
1818181,25597820,Directed,86,,1,"#000000"
1818181,67418441,Directed,87,,1,"#000000"
1818181,71297854,Directed,88,,2,"#000000"
1818181,126049188,Directed,89,,1,"#000000"
1818181,212297066,Directed,90,,4,"#000000"
1818181,238253188,Directed,91,,1,"#000000"
1818181,1271577761371639809,Directed,92,,1,"#000000"
1818181,1100172769575063552,Directed,93,,1,"#000000"
1818181,1140778724767358976,Directed,94,,1,"#000000"
1821291,975445388646903808,Directed,95,,1,"#000000"
1853021,424122771,Directed,96,,1,"#000000"
1862631,2931631,Directed,97,,1,"#000000"
1908541,424122771,Directed,98,,1,"#000000"
1952751,91927275,Directed,99,,1,"#000000"
1952751,1237515474755375104,Directed,100,,1,"#000000"
2021281,883479820117651456,Directed,101,,1,"#000000"
2108531,12035172,Directed,102,,1,"#000000"
2280391,2280391,Directed,103,,1,"#000000"
2280391,280561320,Directed,104,,2,"#000000"
2280391,1424038681,Directed,105,,1,"#000000"
2291631,138161380,Directed,106,,1,"#000000"
2331061,74683881,Directed,107,,1,"#000000"
2331061,79271706,Directed,108,,1,"#000000"
2331061,194047322,Directed,109,,1,"#000000"
2331061,607602141,Directed,110,,1,"#000000"
2331061,2375696683,Directed,111,,1,"#000000"
2331061,1324278660111753218,Directed,112,,1,"#000000"
2437791,304338078,Directed,113,,1,"#000000"
2437791,1101092269044785152,Directed,114,,1,"#000000"
2437791,719816239124783105,Directed,115,,1,"#000000"
2647811,74683881,Directed,116,,1,"#000000"
2647811,3389486200,Directed,117,,1,"#000000"
2647811,725445697382809600,Directed,118,,2,"#000000"
2673391,95654761,Directed,119,,1,"#000000"
2676431,15993641,Directed,120,,1,"#000000"
2676431,18102873,Directed,121,,1,"#000000"
2676431,19717756,Directed,122,,1,"#000000"
2676431,22756377,Directed,123,,1,"#000000"
2676431,260275207,Directed,124,,2,"#000000"
2676431,837969237721432066,Directed,125,,1,"#000000"
2876971,82889243,Directed,126,,1,"#000000"
2931631,2931631,Directed,127,,1,"#000000"
2931631,8083032,Directed,128,,1,"#000000"
2931631,9276252,Directed,129,,2,"#000000"
2931631,15468474,Directed,130,,1,"#000000"
2931631,22809165,Directed,131,,1,"#000000"
2931631,57320656,Directed,132,,1,"#000000"
2931631,58073253,Directed,133,,2,"#000000"
2931631,82889243,Directed,134,,1,"#000000"
2931631,87918200,Directed,135,,2,"#000000"
2931631,92331865,Directed,136,,1,"#000000"
2931631,107051182,Directed,137,,2,"#000000"
2931631,121398330,Directed,138,,1,"#000000"
2931631,139689286,Directed,139,,1,"#000000"
2931631,142752970,Directed,140,,1,"#000000"
2931631,222937952,Directed,141,,1,"#000000"
2931631,256592553,Directed,142,,1,"#000000"
2931631,272280643,Directed,143,,1,"#000000"
2931631,278482863,Directed,144,,1,"#000000"
2931631,331064775,Directed,145,,1,"#000000"
2931631,351699614,Directed,146,,3,"#000000"
2931631,437837999,Directed,147,,1,"#000000"
2931631,501636943,Directed,148,,1,"#000000"
2931631,507482535,Directed,149,,1,"#000000"
2931631,590754035,Directed,150,,1,"#000000"
2931631,607602141,Directed,151,,1,"#000000"
2931631,733092900,Directed,152,,1,"#000000"
2931631,970731607,Directed,153,,1,"#000000"
2931631,1222308966,Directed,154,,1,"#000000"
2931631,1434359630,Directed,155,,1,"#000000"
2931631,1483166647,Directed,156,,3,"#000000"
2931631,1488375698,Directed,157,,1,"#000000"
2931631,2242127486,Directed,158,,2,"#000000"
2931631,2375696683,Directed,159,,5,"#000000"
2931631,2397620451,Directed,160,,2,"#000000"
2931631,2422171706,Directed,161,,1,"#000000"
2931631,2778799206,Directed,162,,1,"#000000"
2931631,3069578187,Directed,163,,1,"#000000"
2931631,3221369231,Directed,164,,1,"#000000"
2931631,735382172476018689,Directed,165,,2,"#000000"
2931631,1131572463597477890,Directed,166,,2,"#000000"
2931631,1360199646853935105,Directed,167,,1,"#000000"
2931631,1361235266221006848,Directed,168,,2,"#000000"
2931631,1361230103808798720,Directed,169,,1,"#000000"
2931631,865014834143928322,Directed,170,,1,"#000000"
2931631,1224365686782296064,Directed,171,,1,"#000000"
2931631,1052888164304605190,Directed,172,,1,"#000000"
2931631,848222675227070464,Directed,173,,2,"#000000"
2931631,735059281494544384,Directed,174,,1,"#000000"
2931631,704613732614344704,Directed,175,,4,"#000000"
2953551,2953551,Directed,176,,3,"#000000"
2953551,56812711,Directed,177,,3,"#000000"
2953551,607602141,Directed,178,,3,"#000000"
