Source,Target,Type,Id,Label,Weight
35993,208676931,Directed,4,,1
35993,597825672,Directed,5,,1
35993,2159060402,Directed,6,,1
35993,2439975073,Directed,7,,1
35993,1243236136765489152,Directed,8,,1
61253,9758512,Directed,9,,2
61253,15901999,Directed,10,,1
61253,54237742,Directed,11,,3
61253,471926670,Directed,12,,1
61253,631260803,Directed,13,,1
61253,4048650860,Directed,14,,1
61253,956187441857290242,Directed,15,,5
62963,52210899,Directed,16,,1
62963,144804999,Directed,17,,1
62963,1417666956,Directed,18,,1
62963,2857319315,Directed,19,,1
62963,725445697382809600,Directed,20,,1
62963,4898171715,Directed,21,,1
712963,712963,Directed,22,,1
712963,15661113,Directed,23,,1
712963,17471538,Directed,25,,1
712963,42648852,Directed,26,,1
712963,57976060,Directed,27,,1
712963,241116398,Directed,29,,5
712963,248631775,Directed,30,,2
712963,331064775,Directed,32,,1
712963,434968866,Directed,33,,1
712963,622908793,Directed,34,,7
712963,1192958954,Directed,35,,7
712963,2168288684,Directed,36,,1
712963,2832562473,Directed,37,,2
712963,2938341550,Directed,38,,2
712963,3037264229,Directed,39,,1
712963,1025711423970848768,Directed,40,,1
760807,760807,Directed,43,,1
760807,18242628,Directed,44,,1
760807,66703068,Directed,45,,1
760807,548901829,Directed,46,,1
782482,18059285,Directed,50,,1
782482,43379739,Directed,51,,1
782482,404442001,Directed,52,,1
782482,607602141,Directed,53,,1
792920,33832669,Directed,56,,1
792920,595588585,Directed,57,,1
792920,1548791382,Directed,58,,1
941401,11332442,Directed,64,,5
941401,331064775,Directed,65,,1
941401,747721267982237696,Directed,67,,1
941401,966406486766292992,Directed,68,,1
941401,911193053641273344,Directed,69,,1
1091241,1417666956,Directed,70,,1
1091241,3568118183,Directed,71,,1
1818181,12725692,Directed,84,,1
1818181,25597820,Directed,86,,1
1818181,212297066,Directed,90,,4
1818181,238253188,Directed,91,,1
2280391,2280391,Directed,103,,1
2280391,280561320,Directed,104,,2
2331061,74683881,Directed,107,,1
2331061,79271706,Directed,108,,1
2331061,194047322,Directed,109,,1
2331061,607602141,Directed,110,,1
2331061,2375696683,Directed,111,,1
2331061,1324278660111753218,Directed,112,,1
2437791,304338078,Directed,113,,1
2437791,1101092269044785152,Directed,114,,1
2437791,719816239124783105,Directed,115,,1
2676431,15993641,Directed,120,,1
2676431,18102873,Directed,121,,1
2676431,19717756,Directed,122,,1
2676431,22756377,Directed,123,,1
2676431,260275207,Directed,124,,2
2931631,2931631,Directed,127,,1
2931631,8083032,Directed,128,,1
2931631,9276252,Directed,129,,2
2931631,15468474,Directed,130,,1
2931631,22809165,Directed,131,,1
2931631,58073253,Directed,133,,2
2931631,82889243,Directed,134,,1
2931631,87918200,Directed,135,,2
2931631,92331865,Directed,136,,1
2931631,107051182,Directed,137,,2
2931631,121398330,Directed,138,,1
2931631,139689286,Directed,139,,1
2931631,142752970,Directed,140,,1
2931631,222937952,Directed,141,,1
2931631,256592553,Directed,142,,1
2931631,272280643,Directed,143,,1
2931631,278482863,Directed,144,,1
2931631,331064775,Directed,145,,1
2931631,351699614,Directed,146,,3
2931631,437837999,Directed,147,,1
2931631,501636943,Directed,148,,1
2931631,507482535,Directed,149,,1
2931631,590754035,Directed,150,,1
2931631,607602141,Directed,151,,1
2931631,733092900,Directed,152,,1
2931631,970731607,Directed,153,,1
2931631,1222308966,Directed,154,,1
2931631,1434359630,Directed,155,,1
2931631,1483166647,Directed,156,,3
2931631,1488375698,Directed,157,,1
2931631,2242127486,Directed,158,,2
2931631,2375696683,Directed,159,,5
2931631,2397620451,Directed,160,,2
2931631,2422171706,Directed,161,,1
2931631,2778799206,Directed,162,,1
2931631,3221369231,Directed,164,,1
2931631,735382172476018689,Directed,165,,2
2931631,1131572463597477890,Directed,166,,2
2931631,1361235266221006848,Directed,168,,2
2931631,1361230103808798720,Directed,169,,1
2931631,865014834143928322,Directed,170,,1
2931631,1224365686782296064,Directed,171,,1
2931631,848222675227070464,Directed,173,,2
2931631,735059281494544384,Directed,174,,1
2931631,704613732614344704,Directed,175,,4
2953551,2953551,Directed,176,,3
2953551,56812711,Directed,177,,3
2953551,607602141,Directed,178,,3
3122211,3122211,Directed,181,,30
3122211,5251921,Directed,182,,1
3122211,8087392,Directed,183,,1
3122211,9758512,Directed,184,,77
3122211,15635191,Directed,188,,44
3122211,15901999,Directed,189,,44
3122211,17177403,Directed,190,,1
3122211,50513654,Directed,194,,2
3122211,54237742,Directed,195,,77
3122211,56957909,Directed,196,,1
3122211,59176934,Directed,197,,10
3122211,63421692,Directed,198,,1
3122211,108648804,Directed,200,,32
3122211,127905882,Directed,201,,44
3122211,249748466,Directed,202,,1
3122211,273910434,Directed,203,,1
3122211,287659745,Directed,204,,27
3122211,601569652,Directed,206,,31
3122211,920050484,Directed,208,,1
3122211,957509173,Directed,209,,1
3122211,1076441989,Directed,210,,1
3122211,1139547961,Directed,211,,1
3122211,2375696683,Directed,212,,2
3122211,3389486200,Directed,214,,1
3122211,4053496954,Directed,216,,1
3122211,956187441857290242,Directed,217,,77
3122211,1064229467516747776,Directed,219,,31
3122211,855336729850421248,Directed,220,,1
3122211,1290078643289497605,Directed,222,,1
3365101,19392745,Directed,226,,1
3365101,19705196,Directed,227,,1
3365101,26726848,Directed,228,,1
3365101,74683881,Directed,229,,1
3365101,89718182,Directed,230,,1
3365101,108977809,Directed,231,,1
3365101,147319561,Directed,232,,2
3365101,156775601,Directed,233,,1
3365101,239846241,Directed,234,,1
3365101,253865251,Directed,236,,1
3365101,278482863,Directed,237,,1
3365101,331064775,Directed,238,,3
3365101,407308942,Directed,239,,1
3365101,420639740,Directed,240,,1
3365101,455605329,Directed,241,,2
3365101,507482535,Directed,242,,1
3365101,607574716,Directed,243,,1
3365101,607602141,Directed,244,,1
3365101,612026965,Directed,245,,1
3365101,733092900,Directed,246,,1
3365101,1017461527,Directed,247,,1
3365101,1170404948,Directed,249,,1
3365101,1222308966,Directed,250,,1
3365101,1462609603,Directed,251,,1
3365101,1488375698,Directed,252,,1
3365101,2375696683,Directed,253,,9
3365101,704613732614344704,Directed,254,,1
3365101,1155084044004143104,Directed,256,,1
3926511,43262326,Directed,266,,1
3926511,53407007,Directed,267,,1
3926511,74683881,Directed,268,,1
3926511,80871603,Directed,269,,1
3926511,82889243,Directed,270,,1
3926511,147319561,Directed,271,,1
3926511,199182471,Directed,272,,1
3926511,392633867,Directed,273,,1
3926511,607602141,Directed,274,,2
3926511,1434359630,Directed,275,,1
3926511,2375696683,Directed,276,,6
3926511,3153574948,Directed,277,,1
3926511,954705808088059904,Directed,278,,1
3926511,804632977519112192,Directed,279,,1
4046891,74453123,Directed,280,,1
4046891,250051868,Directed,281,,1
4052731,3011188258,Directed,282,,1
5033321,7938852,Directed,293,,1
5033321,8168562,Directed,294,,1
5033321,56957909,Directed,295,,1
5033321,360874005,Directed,296,,1
5044731,58073253,Directed,297,,1
5044731,74683881,Directed,298,,1
5044731,79271706,Directed,299,,1
5044731,238253188,Directed,300,,1
5044731,607602141,Directed,301,,1
5044731,759561529,Directed,302,,1
5044731,1434359630,Directed,303,,2
5044731,2422171706,Directed,304,,2
5251921,7067082,Directed,307,,2
5251921,16085411,Directed,308,,1
5251921,33832669,Directed,309,,1
5251921,63421692,Directed,310,,1
5251921,1139547961,Directed,311,,3
5251921,954705808088059904,Directed,312,,4
5251921,885988160378982401,Directed,313,,2
5444722,8627932,Directed,314,,1
5444722,43664690,Directed,315,,1
5444722,331064775,Directed,316,,1
5444722,599933777,Directed,317,,1
5444722,1417666956,Directed,318,,1
5444722,1434359630,Directed,319,,1
5444722,3568118183,Directed,320,,1
5444722,940970240279801861,Directed,322,,1
5444722,4803098175,Directed,323,,2
5444722,788328554253709312,Directed,324,,1
5520702,12344732,Directed,325,,1
5520702,16571064,Directed,326,,1
5520702,22809165,Directed,327,,1
5713842,15901999,Directed,331,,1
5713842,43664690,Directed,332,,1
5713842,738801518,Directed,333,,1
5713842,956187441857290242,Directed,334,,2
5713842,788328554253709312,Directed,335,,1
5776732,5776732,Directed,336,,1
5776732,35910512,Directed,337,,1
5776732,2375696683,Directed,340,,1
5776732,2422171706,Directed,341,,1
5776732,3153574948,Directed,342,,1
5776732,940970240279801861,Directed,343,,1
5967322,64245814,Directed,347,,1
5967322,180298000,Directed,348,,1
5967322,607602141,Directed,349,,1
5967322,1056717649,Directed,350,,1
6108882,16149989,Directed,356,,1
6108882,35403297,Directed,357,,1
6108882,35804229,Directed,358,,1
6108882,826102642002817025,Directed,359,,1
6567482,29230621,Directed,375,,1
6567482,56957909,Directed,376,,1
6567482,733092900,Directed,377,,1
6567482,1878886411,Directed,378,,1
6567482,3056492325,Directed,379,,1
6643882,94114407,Directed,380,,1
6643882,301945604,Directed,381,,1
6771532,6771532,Directed,387,,1
6771532,26988360,Directed,388,,1
6771532,90950560,Directed,389,,1
6771532,400241522,Directed,390,,1
6771532,2422171706,Directed,391,,1
6964542,6964542,Directed,396,,1
6964542,284734969,Directed,397,,1
6964542,751092352320667649,Directed,398,,1
7067082,5251921,Directed,399,,2
7067082,7067082,Directed,401,,1
7067082,7465672,Directed,402,,1
7067082,14229832,Directed,403,,1
7067082,15762276,Directed,404,,1
7067082,16085411,Directed,405,,1
7067082,18981239,Directed,406,,1
7067082,19392745,Directed,407,,1
7067082,19907166,Directed,408,,1
7067082,43379739,Directed,409,,2
7067082,44151017,Directed,410,,2
7067082,63421692,Directed,411,,3
7067082,64939623,Directed,412,,1
7067082,74683881,Directed,413,,3
7067082,79271706,Directed,414,,3
7067082,80386427,Directed,415,,1
7067082,80871603,Directed,416,,1
7067082,82889243,Directed,417,,2
7067082,87918200,Directed,418,,1
7067082,103939677,Directed,419,,3
7067082,111132067,Directed,420,,1
7067082,117356139,Directed,421,,1
7067082,123471479,Directed,422,,2
7067082,130868126,Directed,423,,1
7067082,139689286,Directed,424,,1
7067082,147319561,Directed,425,,2
7067082,255681367,Directed,426,,1
7067082,267128233,Directed,427,,5
7067082,329876465,Directed,428,,1
7067082,331064775,Directed,429,,3
7067082,378033688,Directed,430,,1
7067082,407308942,Directed,431,,1
7067082,434968866,Directed,432,,1
7067082,437660451,Directed,433,,1
7067082,449190802,Directed,434,,1
7067082,455605329,Directed,435,,1
7067082,498162955,Directed,436,,1
7067082,501636943,Directed,437,,1
7067082,507482535,Directed,438,,1
7067082,553177626,Directed,439,,1
7067082,607602141,Directed,440,,17
7067082,867527137,Directed,441,,1
7067082,951767720,Directed,442,,1
7067082,957509173,Directed,443,,3
7067082,1017749293,Directed,444,,1
7067082,1139547961,Directed,445,,13
7067082,1150636140,Directed,446,,1
7067082,1298715679,Directed,447,,1
7067082,1434359630,Directed,448,,1
7067082,1462609603,Directed,449,,1
7067082,1488375698,Directed,450,,1
7067082,2827395683,Directed,451,,1
7067082,2933692635,Directed,452,,1
7067082,4048650860,Directed,453,,2
7067082,4220074768,Directed,454,,1
7067082,1082826724935696386,Directed,455,,1
7067082,940970240279801861,Directed,456,,3
7067082,725445697382809600,Directed,457,,4
7067082,1126575028852744193,Directed,458,,1
7067082,1153228268532830211,Directed,459,,1
7067082,1127720139682668544,Directed,460,,1
7067082,954705808088059904,Directed,461,,16
7067082,1498945219584221188,Directed,462,,1
7067082,885988160378982401,Directed,463,,1
7067082,804632977519112192,Directed,464,,1
7157292,49758266,Directed,466,,1
7157292,195150298,Directed,467,,1
7157292,238253188,Directed,468,,1
7157292,2841915940,Directed,469,,1
7157292,1085728843711897600,Directed,470,,1
7465672,87918200,Directed,477,,1
7465672,91438333,Directed,478,,1
7465672,331064775,Directed,479,,1
7465672,1434359630,Directed,480,,2
7465672,1462609603,Directed,481,,1
7465672,4048650860,Directed,482,,1
7465672,1227326334386540544,Directed,483,,1
7465672,1082826724935696386,Directed,484,,1
7465672,751092352320667649,Directed,485,,1
7506322,7506322,Directed,486,,1
7506322,12725692,Directed,487,,1
7506322,16784012,Directed,488,,1
7506322,18358699,Directed,489,,1
7506322,61093336,Directed,490,,1
7506322,71370207,Directed,491,,1
7506322,257440915,Directed,492,,1
7910642,7506322,Directed,501,,1
7910642,12725692,Directed,502,,1
7910642,16784012,Directed,503,,1
7910642,18358699,Directed,504,,1
7910642,257440915,Directed,505,,1
7996082,115416310,Directed,507,,1
8083032,14436030,Directed,512,,1
8083032,19392745,Directed,513,,3
8083032,31731533,Directed,514,,1
8083032,80807653,Directed,515,,1
8083032,275583016,Directed,516,,1
8083032,300486929,Directed,517,,2
8083032,399710646,Directed,518,,1
8083032,407308942,Directed,519,,1
8083032,437837999,Directed,520,,1
8083032,607602141,Directed,521,,1
8083032,957509173,Directed,522,,2
8083032,1434359630,Directed,523,,1
8083032,1488375698,Directed,524,,1
8083032,2375696683,Directed,525,,5
8083032,3388784469,Directed,526,,7
8083032,1224365686782296064,Directed,527,,13
8083032,1126575028852744193,Directed,528,,4
8083032,4898171715,Directed,529,,1
8087392,8087392,Directed,532,,22
8087392,12725692,Directed,533,,2
8087392,14394972,Directed,534,,1
8087392,14842401,Directed,535,,1
8087392,15468474,Directed,536,,1
8087392,15901999,Directed,537,,1
8087392,16571064,Directed,538,,3
8087392,16627003,Directed,539,,1
8087392,18059285,Directed,540,,1
8087392,29497240,Directed,542,,1
8087392,56957909,Directed,544,,8
8087392,62030243,Directed,545,,4
8087392,74683881,Directed,546,,6
8087392,91927275,Directed,547,,1
8087392,103409751,Directed,549,,2
8087392,108440425,Directed,550,,1
8087392,121398330,Directed,553,,1
8087392,123949057,Directed,554,,3
8087392,142752970,Directed,555,,1
8087392,144804999,Directed,556,,16
8087392,166533671,Directed,558,,4
8087392,208747620,Directed,559,,1
8087392,209484168,Directed,560,,1
8087392,213099694,Directed,561,,3
8087392,294731021,Directed,562,,4
8087392,296967530,Directed,563,,1
8087392,305191432,Directed,564,,1
8087392,331064775,Directed,565,,1
8087392,497987194,Directed,568,,1
8087392,557018040,Directed,569,,1
8087392,561850028,Directed,570,,3
8087392,867527137,Directed,571,,6
8087392,970731607,Directed,572,,1
8087392,1205470920,Directed,574,,1
8087392,1227942865,Directed,575,,1
8087392,1434359630,Directed,577,,1
8087392,1488375698,Directed,578,,1
8087392,2238132050,Directed,579,,1
8087392,2327697072,Directed,580,,1
8087392,2375696683,Directed,581,,2
8087392,2857319315,Directed,582,,49
8087392,2881373775,Directed,583,,4
8087392,3143096086,Directed,584,,3
8087392,3195485187,Directed,585,,1
8087392,3221374863,Directed,586,,1
8087392,3278787810,Directed,587,,1
8087392,3389486200,Directed,588,,1
8087392,725445697382809600,Directed,590,,24
8087392,855336729850421248,Directed,591,,1
8087392,956187441857290242,Directed,592,,1
8087392,1302422896644632577,Directed,595,,1
8097602,15475282,Directed,598,,1
8097602,17025735,Directed,599,,1
8097602,74683881,Directed,600,,2
8097602,110465562,Directed,601,,1
8097602,269684186,Directed,602,,1
8097602,434968866,Directed,603,,1
8097602,607602141,Directed,604,,1
8097602,616462345,Directed,605,,1
8097602,1488375698,Directed,606,,1
8097602,2374479512,Directed,607,,1
8097602,804632977519112192,Directed,608,,1
8099802,8099802,Directed,611,,1
8099802,15233333,Directed,612,,1
8099802,91927275,Directed,613,,1
8099802,143559488,Directed,614,,1
8099802,155733520,Directed,615,,1
8099802,183969483,Directed,616,,1
8099802,2375696683,Directed,617,,1
8099802,902968555855003648,Directed,618,,1
8301552,8301552,Directed,620,,1
8301552,9276252,Directed,621,,1
8301552,13257922,Directed,622,,1
8301552,90549534,Directed,623,,1
8301552,158445401,Directed,624,,1
8301552,262332862,Directed,625,,1
8301552,1170404948,Directed,626,,1
8301552,1523270480,Directed,627,,1
8536532,87918200,Directed,635,,1
8536532,154244633,Directed,636,,1
8536532,607602141,Directed,637,,1
8536532,1434359630,Directed,638,,1
8536532,2439975073,Directed,639,,1
8627932,8087392,Directed,641,,2
8627932,8627932,Directed,642,,1
8627932,17025362,Directed,643,,1
8627932,19002571,Directed,644,,1
8627932,56957909,Directed,645,,1
8627932,531146065,Directed,646,,1
8627932,2857319315,Directed,647,,1
8627932,855336729850421248,Directed,648,,1
8639402,122353251,Directed,649,,1
8639402,157925546,Directed,650,,1
8639402,437837999,Directed,651,,1
8639402,508573682,Directed,652,,1
8639402,2375696683,Directed,653,,1
8639402,704613732614344704,Directed,654,,2
8729462,135828994,Directed,658,,1
8742642,8742642,Directed,659,,2
8742642,28335066,Directed,660,,1
8742642,264435668,Directed,662,,1
8742642,284642077,Directed,663,,1
8742642,376750874,Directed,664,,1
8742642,437837999,Directed,665,,2
8742642,987323496,Directed,666,,1
8742642,1434359630,Directed,667,,2
8742642,2375696683,Directed,668,,3
8742642,2919398071,Directed,669,,1
8816652,304338078,Directed,674,,1
8816652,1172871680,Directed,675,,1
8816652,1461763134,Directed,676,,1
8816652,719816239124783105,Directed,677,,1
8816652,823187349228154881,Directed,678,,1
8831402,8831402,Directed,680,,1
8831402,1243236136765489152,Directed,681,,1
8874622,712963,Directed,682,,3
8874622,241116398,Directed,684,,1
8874622,622908793,Directed,685,,1
8874622,2168288684,Directed,686,,1
9276252,8301552,Directed,696,,1
9276252,9276252,Directed,697,,3
9276252,17152842,Directed,699,,1
9276252,17508247,Directed,700,,6
9276252,17777882,Directed,701,,1
9276252,17872758,Directed,702,,1
9276252,44953355,Directed,706,,1
9276252,85343435,Directed,708,,1
9276252,89472246,Directed,709,,1
9276252,91927275,Directed,710,,1
9276252,107051182,Directed,711,,9
9276252,123949057,Directed,712,,1
9276252,125391822,Directed,713,,3
9276252,125733124,Directed,714,,1
9276252,137273883,Directed,715,,1
9276252,162667212,Directed,716,,1
9276252,171047449,Directed,717,,1
9276252,183420811,Directed,718,,2
9276252,188725330,Directed,719,,1
9276252,191143493,Directed,720,,1
9276252,227264918,Directed,721,,2
9276252,241496609,Directed,722,,1
9276252,275092678,Directed,723,,2
9276252,289601740,Directed,725,,1
9276252,296950170,Directed,726,,1
9276252,300407444,Directed,727,,1
9276252,331064775,Directed,730,,1
9276252,352053266,Directed,731,,1
9276252,437837999,Directed,733,,2
9276252,471926670,Directed,734,,1
9276252,507482535,Directed,735,,3
9276252,529039861,Directed,736,,1
9276252,588197195,Directed,737,,2
9276252,789503900,Directed,738,,2
9276252,1139244198,Directed,739,,1
9276252,1434359630,Directed,740,,1
9276252,1523270480,Directed,741,,1
9276252,1854809810,Directed,742,,2
9276252,2196019344,Directed,744,,1
9276252,2294164837,Directed,745,,1
9276252,2375696683,Directed,746,,1
9276252,2596061704,Directed,748,,7
9276252,2863217422,Directed,749,,1
9276252,3003645287,Directed,750,,4
9276252,735059281494544384,Directed,753,,61
9276252,865014834143928322,Directed,754,,35
9276252,1267475661280677888,Directed,755,,10
9276252,737252789949190149,Directed,756,,1
9276252,1101092269044785152,Directed,757,,1
9276252,848222675227070464,Directed,759,,10
9276252,719816239124783105,Directed,761,,1
9276252,829749537233330176,Directed,762,,1
9276252,861502060646346752,Directed,763,,1
9276252,704613732614344704,Directed,765,,3
9276252,744635256574218240,Directed,766,,1
9276252,804632977519112192,Directed,769,,2
9546132,14573832,Directed,775,,1
9546132,58073253,Directed,776,,1
9546132,82889243,Directed,777,,1
9546132,166030592,Directed,778,,1
9546132,607602141,Directed,779,,3
9557662,43379739,Directed,780,,2
9557662,572136250,Directed,783,,1
9590442,17572957,Directed,787,,1
