year,estructuralista,posmoderno,decolonial
1950,4.073723758324377e-08,3.357420452765325e-10,0.0
1951,4.204131585083815e-08,2.68593636221226e-10,0.0
1952,4.9749556770469404e-08,2.2382803018435501e-10,0.0
1953,4.75166313914802e-08,1.918525973008757e-10,0.0
1954,4.77056002320556e-08,3.477579811418861e-10,0.0
1955,5.9312877656988605e-08,4.436879752489631e-10,0.0
1956,6.11421501365125e-08,4.436879752489631e-10,0.0
1957,7.031987995073255e-08,2.433144955357339e-09,0.0
1958,9.464217194070962e-08,2.433144955357339e-09,0.0
1959,1.1741273198140334e-07,2.949692775747589e-09,0.0
1960,1.4986285583924136e-07,2.949692775747589e-09,0.0
1961,1.7228138154174693e-07,3.021205967940992e-09,0.0
1962,1.9233381617514818e-07,2.8473101812817194e-09,0.0
1963,2.524698794153275e-07,2.9615510202926234e-09,0.0
1964,3.1056502791670937e-07,1.0803907927022953e-09,0.0
1965,4.0237801459040513e-07,1.2895590785687106e-09,0.0
1966,5.202139427800441e-07,3.168766725204973e-09,0.0
1967,6.70925079556842e-07,4.1821312286265714e-09,0.0
1968,8.463629472186897e-07,4.285494847877658e-09,0.0
1969,1.0157036821770556e-06,4.276125739214162e-09,0.0
1970,1.1298968242304648e-06,4.258450592153906e-09,0.0
1971,1.2080261788988928e-06,4.535358945543879e-09,0.0
1972,1.2722931939736424e-06,7.034353242753509e-09,9.672009225271592e-11
1973,1.3843730195211329e-06,5.371758038386076e-09,9.672009225271592e-11
1974,1.4074765561287807e-06,5.906333089278348e-09,9.672009225271592e-11
1975,1.4030210552716329e-06,9.79961072606577e-09,9.672009225271592e-11
1976,1.4236185766744062e-06,1.0481968737430236e-08,9.672009225271592e-11
1977,1.497766577683381e-06,1.7389332925990938e-08,9.672009225271592e-11
1978,1.5328725534605577e-06,1.8868247726138472e-08,9.672009225271592e-11
1979,1.5350890407717088e-06,2.003195964661586e-08,0.0
1980,1.4602662271759722e-06,2.246900405416292e-08,0.0
1981,1.4451880393348153e-06,2.9243994146911845e-08,0.0
1982,1.4161221640409037e-06,4.1146979664777716e-08,0.0
1983,1.3846838068535102e-06,6.385679401128235e-08,1.7150868027369726e-10
1984,1.3538815275231691e-06,1.0810759233846414e-07,1.7150868027369726e-10
1985,1.38634228668317e-06,1.5907395705434218e-07,1.7150868027369726e-10
1986,1.4090761299355239e-06,2.4007590074656295e-07,1.7150868027369726e-10
1987,1.4305974868225998e-06,3.288655661443889e-07,1.7150868027369726e-10
1988,1.4484628536592936e-06,4.064878313313004e-07,1.7150868027369726e-10
1989,1.4855551171422121e-06,4.917530256014808e-07,1.7150868027369726e-10
1990,1.4857797948155036e-06,6.286962031611308e-07,0.0
1991,1.4770295300487696e-06,7.449764081814334e-07,0.0
1992,1.4373636888974164e-06,9.125203713925398e-07,0.0
1993,1.401997906214092e-06,1.01949029840398e-06,0.0
1994,1.3722116299114923e-06,1.1479272237530885e-06,6.652484277732843e-10
1995,1.35349221506788e-06,1.340848760784346e-06,4.83222249515945e-09
1996,1.3263019939456302e-06,1.5076912762067098e-06,4.83222249515945e-09
1997,1.301811900183176e-06,1.623518025033783e-06,5.9612967260948474e-09
1998,1.2750404526481622e-06,1.7746565877782165e-06,6.203220048739411e-09
1999,1.2988339709149192e-06,1.8179737578196052e-06,6.203220048739411e-09
2000,1.2960015445579692e-06,1.8969002927146254e-06,7.390288397119653e-09
2001,1.30713916795295e-06,1.9728777098342628e-06,6.725039969346369e-09
2002,1.3222847233659455e-06,1.9558925064952097e-06,3.2096475477416675e-09
2003,1.3386005223635169e-06,1.9360041148632135e-06,6.617008798036141e-09
2004,1.335362916116927e-06,1.939220380466265e-06,2.07553977972706e-08
2005,1.3216980180784179e-06,1.8554326451131992e-06,2.720606533707886e-08
2006,1.2509422211743576e-06,1.8106212402407046e-06,6.37362773352785e-08
2007,1.1798435934906593e-06,1.7344801627976786e-06,7.300053031907997e-08
2008,1.0866846602246888e-06,1.5986993438283598e-06,8.552430991975208e-08
2009,9.421056534262919e-07,1.4593062392772741e-06,9.735822383203998e-08
2010,8.321638306694825e-07,1.3595671037234882e-06,1.0126798295167256e-07
2011,7.521636210380425e-07,1.2052075411312607e-06,1.0673803428419757e-07
2012,6.536760882421991e-07,1.0787004660934535e-06,1.1173263000533293e-07
2013,5.78128139393032e-07,9.891254129407962e-07,9.022757398367633e-08
2014,5.444189931884986e-07,9.205201812229851e-07,1.0668959151059556e-07
2015,5.234424236277846e-07,8.951864174377988e-07,1.6168093302277547e-07
2016,5.21671166455105e-07,9.059565481298446e-07,1.829623122213369e-07
2017,5.072945678345301e-07,8.835742069853344e-07,2.0491939049331145e-07
2018,4.879312712091632e-07,8.851164011502988e-07,2.1687074820420093e-07
2019,4.730977920530677e-07,9.167328016701504e-07,2.5063585873397187e-07
