,x,y,word,cluster
0,-36.36723,-21.316406,no,9
1,-90.752716,-38.528515,texto,15
2,-58.738075,-27.084583,más,9
3,-64.085915,0.39529926,él,19
4,-101.84396,24.10498,digital,6
5,-103.32448,-13.850077,dato,13
6,-93.823326,43.568184,proyecto,6
7,-76.96042,-37.82088,tener,9
8,-106.4519,-8.806258,permitir,13
9,-72.76941,-18.504858,también,9
10,-95.17389,-4.721874,análisis,13
11,10.673642,105.996445,dar,4
12,-103.276405,-13.538946,información,13
13,-74.124596,-14.249723,obra,15
14,-56.43582,-52.45503,caso,9
15,-63.686504,0.39704993,forma,18
16,-58.2367,-42.02007,primero,9
17,-98.65341,14.800156,nuevo,6
18,-93.41119,-34.396324,edición,15
19,-74.11254,-14.166165,autor,15
20,-54.459,-27.914825,hacer,9
21,-69.45999,-20.629,ya,9
22,-109.37269,-2.1929622,herramienta,13
23,-93.232056,43.06405,investigación,6
24,-76.79103,-53.48641,tipo,2
25,-92.83339,43.018887,trabajo,6
26,-36.180664,-25.77658,tanto,18
27,-98.059135,23.000402,estudio,6
28,-74.697235,4.549253,parte,9
29,-98.83815,-18.464462,corpus,2
30,-77.36746,-10.182388,así,2
31,-77.051384,-43.026558,resultado,2
32,-66.33903,-58.548138,encontrar,9
33,-60.908348,-48.3327,ejemplo,2
34,-67.23705,-36.31196,manera,2
35,-87.23821,-25.915068,partir,8
36,-88.23123,-7.9102654,base,13
37,-90.45479,-39.138927,documento,2
38,-54.825397,-66.29648,palabra,12
39,-76.4799,-53.684353,relación,2
40,-58.68841,-27.356426,mucho,9
41,-103.20598,-13.009006,contenido,13
42,-84.379555,-14.168117,lugar,12
43,-52.018085,-65.27228,término,12
44,-66.91128,-21.057259,solo,9
45,-90.67053,-31.670647,formato,15
46,-96.75628,13.39597,proceso,13
47,-69.96368,-59.763527,elemento,12
48,-94.467476,-0.10226129,realizar,13
49,-104.605316,-1.240283,uso,8
50,-104.55883,-5.5317097,través,13
51,-83.98828,44.926506,campo,0
52,-58.279728,-32.02634,vez,9
53,-98.16146,-11.049184,ofrecer,13
54,-94.30571,0.12725846,utilizar,13
55,-105.76684,-4.681583,usuario,13
56,-94.532036,-21.087984,además,2
57,-90.47676,0.6901017,textual,13
58,-82.23107,-37.376038,posible,2
59,-86.64815,37.416973,objetivo,8
60,-65.66633,-59.13514,aparecer,12
61,-70.39495,3.508993,último,9
62,-106.12527,11.93277,archivo,15
63,-39.03699,-53.615467,decir,14
64,-42.92276,-57.324917,mayor,9
65,-90.20794,22.372717,conocimiento,6
66,-22.813637,94.847885,cultural,11
67,-52.515488,17.595184,objeto,18
68,-93.82037,-28.00958,web,13
69,-106.461235,12.111274,biblioteca,6
70,-108.58299,-2.2892516,aplicación,13
71,-40.947098,85.55783,literatura,0
72,-50.262497,-70.20342,ver,14
73,-70.61821,-18.435566,bien,9
74,-77.822296,-38.18263,tratar,9
75,-99.05911,-1.9343203,posibilidad,13
76,-89.23823,23.252499,social,0
77,-64.47972,-18.665878,punto,9
78,-70.1117,4.095174,año,9
79,-54.186348,-27.791279,tiempo,9
80,-89.360176,-29.56455,incluir,2
