id,project_id,path,description
10,1,Tradición_Postura_Relación centro / periferia,"Referencias y reflexiones a la relación entre centro y periferia del humanismo en general y las humanidades digitales. Puede incluir reflexiones con respecto a posturas hegemónicas y subalternas en el humanismo y las humanidades, a las nociones de norte y sur global, a grupos marginalizados y su participación en el humanismo, a posturas decoloniales frente al humanismo, etc."
11,1,Tradición_Función_Conservación de la memora,"Referencias explícitas o implícitas al valor humanístico de la conservación de la memoria o la escritura de lo común, en general o en relación con las humanidades digitales"
14,1,Tradición_Irrupción Digital_Valores HD,Menciones a caracterizaciones y valores propios de las humanidades digitales
15,1,Tradición_Irrupción Digital_Relación Humanidades / HD,"Conceptos e ideas que se superponen entre las humanidades tradicionales y las humanidades digitales. Pueden ser relaciones problemáticas o coincidencias en las prácticas, posturas epistemológicas o alcances de las humanidades digitales y las humanidades tradicionales"
18,1,Tradición_Función_Interpretación y análisis,"Referencias explícitas o implícitas al valor humanístico de la interpretación de la cultura, en general o en relación con las humanidades digitales"
19,1,Tradición_Postura_Otras humanidades,"Reflexiones y menciones con respecto a otras formas de entender las humanidades de manera diferente a su tradición hegemónica (posthumanismo, feminismo, visiones indígenas, identidad latinoamericana, activismo social, etc)"
20,1,Tradición_Función_Materialidad y expresión,"Reflexiones y menciones a lo digital como medio y su potencia expresiva a partir de la consciencia de su materialidad, en general o en relación con las humanidades digitales"
21,1,Tradición_Función_Educación,"Referencias explícitas o implícitas al valor humanístico de la educación y el cultivo personal del conocimiento, en general o en relación con las humanidades digitales"
22,1,Tradición_Función_Cívica,"Referencias y reflexiones explícitas o implíctas con respecto al valor humanista de la construcción de los seres humanos en términos morales (como ciudadanos, como sujetos merecedores de bienestar, etc.), en general o en relación con las humanidades digitales"
12,1,Epistemología_El término humanidades digitales,Menciones de las personas entrevistadas a su descubrimiento del término humanidades digitales
16,1,Epistemología_Postura instrumental / cultural,"Reflexiones con respecto a las dos posturas que configuran el eje de la epistemología digital: la visión instrumental de las tecnologías digitales como herramienta para el estudio de las humanidades digitales, la visión que entiende el mundo digital como expresión cultural y, por lo tanto, como objeto de estudio de las humanidades. Esta categoría también pueden incluir menciones a otras formas de epistemología digital, como el activismo"
17,1,Epistemología_Disciplinas,"Reflexiones con respecto a las disciplinas académicas de las humanidades: su entrecruzamiento, su necesidad o existencia real, su relación con las humanidades digitales"
9,1,Comunidad_Relación formal / informal,Referencias y reflexiones con respecto a las relaciones entre las comunidades formales (institucionalizadas y académicas) e informales (grupos de interés y comunidades de práctica) en el campo de las humanidades digitales
13,1,Comunidad_Valores formas de organización,"Referencias y reflexiones con respecto a los valores, problemas, ventajas y deventajas que pueden tener distintas formas de organización formal e informal en las humanidades digitales"
3,1,Infraestructura_Financiación,Referencia a problemas u orígenes de los presupuestos de proyectos en humanidades digitales
4,1,Infraestructura_Idioma,"Referencias y reflexiones con respecto a las brechas o posibilidades de acceso en las humanidades digitales en idiomas diferentes al inglés. Especialmente, las brechas con respecto a las prácticas de las humanidades digitales en español"
5,1,"Infraestructura_Física, software, estándares","Referencias y reflexiones con respecto al origen, estado y desarrollo de la infraestructura física, el software y los estándares de las humanidades digitales, ya sea por menciones a proyectos concretos o por reflexiones al asunto en general. También, referencias a alternativas y soluciones a las limitaciones en estos aspectos"
6,1,Infraestructura_Instituciones y comunidades,"Referencias y reflexiones con respecto al estado de la creación de instituciones, asociaciones, grupos de interés y centros para el estudio, el desarrollo o la promoción de las humanidades digitales"
7,1,Infraestructura_Educación,"Referencia al estado de las infraestructuras para la educación en teorías o prácticas necesarias para las humanidades digitales en el contexto de la persona entrevistada, sus problemas, alcances y oportunidades"
1,1,Trayectoria_Formación e intereses,"Descripciones de las historias de origen de la persona entrevistada: su formación, el desarrollo de su trayectoria, intereses particulares tanto en general como en el campo de las humanidades digitales"
2,1,Trayectoria_Aprendizaje,"Referencias al aprendizaje individual de la persona entrevistada en las prácticas de las humanidades digitales: sus dificultades, oportunidades y recorridos particulares"
8,1,Extra_Conceptos,"Conceptos propios que las personas entrevistadas mencionan y que pueden dar luces acerca de su concepción y caracterización de las humanidades digitales, sus comunidades y tensiones o que pueden plantear indicios para elaboraciones teóricas de los dominios en tensión en la investigación"
