Categoría: Todas las categorías

País,humanidades digitales: (27/9/18 - 27/9/23),humanidades digitais: (27/9/18 - 27/9/23),digital humanities: (27/9/18 - 27/9/23),Humanités numériques: (27/9/18 - 27/9/23)
China,,,100 %,
Irlanda,,,100 %,
Austria,,,100 %,
Hong Kong,,,100 %,
Suiza,,,100 %,
Italia,,,100 %,
Alemania,,,100 %,
Grecia,,,100 %,
Bélgica,,,100 %,
Países Bajos,,,100 %,
Canadá,,,100 %,
Reino Unido,,,100 %,
Estados Unidos,,,100 %,
Nigeria,,,100 %,
Colombia,100 %,,,
Suecia,,,100 %,
Australia,,,100 %,
Francia,,,29 %,71 %
España,72 %,,28 %,
Corea del Sur,,,100 %,
Filipinas,,,100 %,
Pakistán,,,100 %,
Sudáfrica,,,100 %,
India,,,100 %,
México,80 %,,20 %,
Rusia,,,100 %,
Perú,100 %,,,
Malasia,,,100 %,
Argentina,100 %,,,
Brasil,,74 %,26 %,
Irán,,,100 %,
Indonesia,,,100 %,
Turquía,,,100 %,
Japón,,,100 %,
Isla de Navidad,,,,
Nauru,,,,
Svalbard y Jan Mayen,,,,
Palaos,,,,
Caribe neerlandés,,,,
Sint Maarten,,,,
Groenlandia,,,,
Islas Aland,,,,
Samoa,,,,
Sáhara Occidental,,,,
Aruba,,,,
Sudán del Sur,,,,
Antigua y Barbuda,,,,
Nueva Caledonia,,,,
Lesoto,,,,
Níger,,,,
Togo,,,,
Guadalupe,,,,
Barbados,,,,
Maldivas,,,,
Mali,,,,
Macao,,,,
Namibia,,,,
Reunión,,,,
Puerto Rico,,,,
El Salvador,,,,
Etiopía,,,,
Mongolia,,,,
Cuba,,,,
Uruguay,,,,
Macedonia del Norte,,,,
República Dominicana,,,,
Guatemala,,,,
Palestina,,,,
Kirguistán,,,,
Moldavia,,,,
Costa Rica,,,,
Panamá,,,,
Chile,,,,
Ecuador,,,,
Uganda,,,,
Venezuela,,,,
Emiratos Árabes Unidos,,,,
Portugal,,,,
Arabia Saudí,,,,
Singapur,,,,
Afganistán,,,,
Angola,,,,
Anguila,,,,
Albania,,,,
Andorra,,,,
Armenia,,,,
Samoa Americana,,,,
Antártida,,,,
Territorios Australes Franceses,,,,
Azerbaiyán,,,,
Burundi,,,,
Benín,,,,
Burkina Faso,,,,
Bangladés,,,,
Bulgaria,,,,
Baréin,,,,
Bahamas,,,,
Bosnia y Herzegovina,,,,
San Bartolomé,,,,
Bielorrusia,,,,
Belice,,,,
Bermudas,,,,
Bolivia,,,,
Brunéi,,,,
Bután,,,,
Isla Bouvet,,,,
Botsuana,,,,
República Centroafricana,,,,
Islas Cocos,,,,
Côte d’Ivoire,,,,
Camerún,,,,
República Democrática del Congo,,,,
Congo,,,,
Islas Cook,,,,
Comoras,,,,
Cabo Verde,,,,
Curazao,,,,
