Id,Label,modularity_class,indegree,outdegree,degree,X,Y,Size,Color
11084,hdh,46,9,0,9,0.436616,0.519612,0.002435,"#ffb800"
35993,jbj,39,0,5,5,0.327461,0.336041,0.000487,"#00e8b2"
60283,javierleiva,21,6,0,6,0.445717,0.620292,0.000974,"#006032"
61253,javiermoya,1,11,7,18,0.345961,0.5407,0.006819,"#825403"
62963,jjmerelo,15,0,6,6,0.465257,0.51901,0.000974,"#006032"
420343,uam,49,7,0,7,0.432741,0.511891,0.001461,"#ffa64e"
712963,paulasimoes,39,15,19,34,0.463663,0.469725,0.014613,"#00e8b2"
760807,lacordero,5,8,4,12,0.343904,0.35637,0.003897,"#ff9b8f"
763841,Hipertextual,46,4,0,4,0.43465,0.622945,0,"#ffb800"
782482,paw,0,0,4,4,0.395384,0.389043,0,"#ff77ff"
792920,ecerverab,15,2,3,5,0.48356,0.546976,0.000487,"#ff0d69"
807095,nytimes,46,5,0,5,0.424308,0.569821,0.000487,"#ffb800"
816178,MADRID,28,69,0,69,0.503171,0.31467,0.031661,"#8ecfec"
823905,wordpressdotcom,28,24,0,24,0.403536,0.597759,0.009742,"#8ecfec"
941401,textundblog,0,1,6,7,0.415247,0.459541,0.001461,"#3e93ff"
1091241,jfreire,17,12,2,14,0.381202,0.573382,0.004871,"#3bec00"
1344951,WIRED,28,9,0,9,0.402748,0.414001,0.002435,"#00e8b2"
1818181,jairogalindo,26,14,11,25,0.21551,0.553771,0.010229,"#3bec00"
2170361,olea,1,4,0,4,0.667677,0.663713,0,"#ff12a3"
2280391,adolfoestalella,48,3,3,6,0.42034,0.309282,0.000974,"#ff0d69"
2331061,nopiedra,12,1,6,7,0.409188,0.536644,0.001461,"#ff77ff"
2437791,Sr_Sotomonte,48,1,3,4,0.525595,0.576265,0,"#ff0d69"
2676431,juleniturbe,35,7,6,13,0.642776,0.569527,0.004384,"#008ebb"
2931631,kavango,46,15,49,64,0.387497,0.543298,0.029226,"#ffb800"
2953551,magpie,12,27,3,30,0.386765,0.438525,0.012664,"#ff77ff"
3122211,eraser,1,58,42,100,0.418812,0.45899,0.046761,"#825403"
3365101,versae,46,11,31,42,0.414572,0.498786,0.018509,"#ffb800"
3926511,jborrego,46,0,14,14,0.404069,0.508951,0.004871,"#ffb800"
4046891,ganyet,14,21,2,23,0.568413,0.361879,0.009255,"#b6cb00"
4052731,cesarastudillo,21,6,1,7,0.572535,0.420343,0.001461,"#ffa64e"
4386321,LA,28,4,0,4,0.339428,0.567934,0,"#8ecfec"
5033321,elmorsa,15,0,4,4,0.542613,0.435923,0,"#006032"
5044731,dagosalas,46,1,8,9,0.382576,0.474135,0.002435,"#3bec00"
5127621,upo,22,14,0,14,0.61916,0.535515,0.004871,"#8ecfec"
5251921,julianab,22,5,7,12,0.392538,0.546047,0.003897,"#8ecfec"
5444722,sarok,48,0,11,11,0.477618,0.47085,0.00341,"#006032"
5493242,DiariodeNavarra,49,6,0,6,0.552208,0.481147,0.000974,"#8ecfec"
5520702,esponjita,15,2,3,5,0.511676,0.477244,0.000487,"#ff0d69"
5695032,Yale,1,8,0,8,0.398188,0.525029,0.001948,"#ff12a3"
5713842,antonigr,1,1,5,6,0.402967,0.544058,0.000974,"#825403"
5776732,pbongiovanni,36,14,8,22,0.346596,0.595763,0.008768,"#3bec00"
5967322,jcmorocho,12,0,4,4,0.327477,0.447454,0,"#ff77ff"
6108882,jmcclurken,12,0,4,4,0.225555,0.434413,0,"#ff77ff"
6567482,acastrillejo,46,0,5,5,0.453751,0.485706,0.000487,"#ffb800"
