,x,y,word,cluster
0,47.74157,73.95467,project,8
1,67.23786,69.08159,digital,7
2,41.224586,77.61886,work,8
3,81.68043,-46.66508,use,18
4,45.3343,-82.17473,include,16
5,102.80312,1.4850835,history,11
6,9.874569,98.167946,review,15
7,46.064724,79.367096,student,8
8,29.441532,78.251595,also,8
9,62.00575,59.049988,community,6
10,67.90298,70.71883,humanity,7
11,68.56055,-54.27476,datum,18
12,78.774,-69.3811,user,5
13,79.44516,-54.022907,site,18
14,73.19304,-42.473503,make,18
15,78.98808,-52.70619,provide,18
16,63.802624,62.403976,research,7
17,55.964783,38.021133,other,3
18,78.055855,-37.739502,create,18
19,14.088299,-67.79131,more,16
20,72.41232,-53.63093,collection,18
21,13.838182,95.02237,issue,15
22,76.05101,-65.11935,map,5
23,73.2587,-52.589695,material,18
24,76.086136,-70.43375,text,5
25,60.343975,23.798952,well,10
26,81.41153,49.164345,study,6
27,81.783615,-52.41936,website,18
28,84.92543,-48.063663,access,18
29,63.610306,60.60808,scholar,7
30,77.916374,-38.047913,resource,18
31,92.98928,20.950378,experience,12
32,74.58143,-39.231575,archive,18
33,81.38134,-45.586563,tool,7
34,79.14684,-35.937286,offer,3
35,61.03788,69.573494,new,7
36,104.890366,0.56595904,black,11
37,43.32294,75.9944,team,8
38,84.631905,40.521893,as,13
39,66.074486,69.57099,public,7
40,98.91567,-15.748637,historical,12
41,85.03566,-48.02307,source,18
42,73.68034,-59.24196,document,5
43,78.66579,-55.10991,content,18
44,77.842255,-28.400436,such,16
45,102.16572,-1.1468681,people,11
46,90.95598,-24.471338,way,3
47,73.06731,-59.10969,information,5
48,62.361732,69.280975,develop,7
49,42.752914,75.96428,support,8
50,76.40574,-70.57947,page,5
51,92.759636,-12.298351,time,12
52,70.17421,-62.989853,feature,5
53,81.02776,48.716724,sound,6
54,84.34285,-0.7653219,story,12
55,83.645294,-49.9875,open,18
56,78.86177,-36.52812,base,3
57,40.060905,-72.0672,present,16
58,81.89801,-47.506134,build,18
59,73.509445,-33.678425,design,18
60,76.37311,-70.432655,image,5
61,75.62102,-55.248245,link,18
62,63.704086,61.533382,audience,7
63,101.151436,-2.8289864,place,12
64,78.67528,-69.417046,allow,5
65,80.39542,42.900234,focus,6
66,67.85604,70.353775,scholarship,7
67,82.31567,-48.586838,platform,18
68,71.033585,67.52596,social,6
69,41.766342,62.897778,explore,3
70,21.13434,76.61985,first,8
71,66.68785,41.31948,many,3
72,6.538291,89.56626,editor,2
73,85.57143,45.952515,cultural,11
74,81.91448,-52.383877,available,18
75,21.304457,76.61928,year,8
76,92.266754,21.475542,space,6
77,63.25197,62.375786,researcher,7
78,8.200517,90.64738,question,2
79,22.758768,83.540184,part,8
80,69.682144,66.38422,practice,6
81,57.162384,-36.82619,language,12
82,29.725813,79.91805,process,8
83,73.22627,-52.47376,archival,18
84,89.34062,-13.365004,different,12
85,98.43234,10.010946,century,9
86,77.62181,-69.88671,search,5
87,98.472206,10.018519,th,9
88,72.89997,-45.425705,exhibit,18
89,98.24325,-15.959569,record,12
90,102.870346,1.0329264,culture,11
91,29.675419,80.56978,publish,8
92,17.394402,61.85645,take,19
93,62.450108,11.735404,form,19
94,70.511955,67.39794,medium,6
95,24.457636,82.2724,share,8
96,23.470467,72.75847,write,19
97,102.65569,-0.11295386,life,11
98,57.85813,-32.30687,book,12
99,50.136265,34.17422,most,3
100,47.17743,78.79919,member,7
101,65.750206,-29.201294,find,16
102,96.94425,9.688079,early,11
103,57.85553,68.11278,approach,7
104,21.593355,80.280045,topic,8
105,46.48643,70.02857,scholarly,3
106,104.67148,1.094989,american,11
107,82.72568,46.40625,field,6
108,33.480328,68.478966,own,8
109,66.07361,69.629745,engage,7
110,61.635654,68.98283,model,7
111,67.615326,-46.116684,example,16
112,99.23188,-15.653142,visual,5
113,5.1153336,98.71554,journal,2
114,69.94448,-67.52798,video,5
115,51.948944,-67.719635,only,16
116,79.15893,-26.696367,large,3
117,68.03359,69.19627,method,7
118,13.071532,92.70305,note,15
119,68.807304,68.44819,technology,7
120,97.17096,-16.313486,narrative,12
121,80.70161,47.58393,critical,6
122,20.122515,82.7845,publication,8
123,74.66591,-66.83959,location,5
124,71.33369,-61.76683,section,5
125,72.380135,-53.647263,audio,18
126,99.6168,-3.5108235,city,12
127,68.84262,-53.852486,analysis,18
128,102.70902,0.16174956,woman,11
129,73.17666,-37.5618,development,3
130,74.046646,-55.36219,database,18
131,73.72245,-40.180428,accessible,18
132,24.310755,90.24174,bring,8
133,23.253683,-51.512478,give,16
134,21.532055,91.4342,course,8
135,75.514534,-55.50046,interactive,18
136,59.96077,48.77405,important,3
137,44.38124,68.98581,serve,3
138,13.915236,95.321396,special,15
139,58.58139,73.56575,range,7
140,25.584047,38.824036,highlight,19
141,47.049217,75.409645,collaboration,8
142,48.6584,71.00162,aim,8
143,41.390842,71.84689,future,3
144,92.41638,-12.235893,event,12
145,68.72015,-54.05119,visualization,18
146,58.07107,-40.73994,author,16
147,35.86488,-58.439888,help,16
148,69.589264,65.20647,knowledge,7
149,54.8065,-37.63302,individual,12
150,95.72187,7.473882,long,12
151,94.09376,2.6164758,music,12
152,41.18947,71.6748,need,3
153,84.36479,45.50771,art,6
154,84.43635,40.80708,know,12
155,74.090645,-65.3179,metadata,5
156,48.223927,-75.2991,result,16
157,80.14363,-52.075428,online,18
158,69.01285,-55.69395,set,5
159,62.332115,59.463478,academic,7
160,31.547083,-49.809105,produce,16
161,60.30362,63.475826,expand,3
162,34.79503,-85.63813,point,16
163,83.43811,-49.638767,primary,18
164,14.667742,62.549313,see,19
165,74.13258,22.353956,often,12
166,56.069366,-33.446144,term,16
167,40.541363,71.16779,addition,3
168,22.290163,88.05496,lead,8
169,72.407425,-64.674614,entry,5
170,83.70336,-8.163004,show,12
171,82.01078,-47.669632,web,18
172,95.54211,10.058724,world,12
173,24.321054,90.29925,interested,8
174,79.89409,42.557693,jewish,6
175,29.412426,-55.167572,essay,16
176,43.54458,52.28903,institution,3
177,92.40324,-22.561941,context,12
178,22.954058,84.91801,direct,8
179,89.11682,29.090326,artist,12
180,39.76036,-72.54737,relate,16
181,46.85306,62.334656,together,8
182,58.987213,67.93464,seek,7
183,22.686808,-51.831852,reader,16
184,25.625301,-53.518185,list,16
185,22.43861,85.23864,continue,8
186,52.015427,62.024086,area,6
187,25.656233,-53.387806,article,16
