source_x,source_y,target_x,target_y,size
278,254,345,232,3
278,254,218,125,3
278,254,598,728,3
278,254,-420,-1345,3
278,254,586,-59,3
278,254,-914,1923,3
278,254,-519,-790,3
278,254,-602,-836,3
278,254,442,578,3
278,254,-392,984,3
278,254,-832,1600,3
278,254,497,1992,3
278,254,4,402,3
278,254,-165,-1185,3
278,254,-661,-1644,3
278,254,94,-507,3
278,254,1948,1177,3
278,254,2086,-405,3
278,254,753,1147,3
278,254,2,165,3
278,254,203,325,3
278,254,142,95,3
278,254,816,500,3
278,254,-1291,1069,3
278,254,499,457,3
278,254,699,-1282,3
278,254,614,1104,3
278,254,577,1330,3
278,254,1425,1392,3
278,254,116,895,3
278,254,663,447,3
278,254,-334,169,3
278,254,432,277,3
278,254,491,209,3
278,254,217,878,3
278,254,-652,-400,3
278,254,633,-924,3
278,254,690,933,3
278,254,-28,714,3
278,254,-743,782,3
278,254,868,1166,3
278,254,498,1194,3
278,254,-1450,-971,3
278,254,231,207,3
278,254,-1574,-385,3
278,254,1181,1091,3
278,254,147,-887,3
278,254,1686,146,3
278,254,1504,-841,3
278,254,-225,715,3
278,254,1000,1895,3
278,254,482,-969,3
278,254,1002,166,3
278,254,-1253,228,3
278,254,-1095,-121,3
278,254,-1387,37,3
278,254,-847,-51,3
278,254,-1321,-392,3
278,254,-250,-2290,3
278,254,487,421,3
278,254,952,679,3
278,254,1058,-1155,3
278,254,-88,383,3
278,254,-284,479,3
278,254,46,-116,3
278,254,414,930,3
278,254,889,1090,3
278,254,968,1150,3
278,254,-601,1148,3
278,254,1034,-1344,3
278,254,493,-634,3
278,254,-257,144,3
278,254,668,-127,3
278,254,794,-74,3
278,254,-212,-161,3
278,254,285,-276,3
278,254,-158,-328,3
278,254,986,-347,3
278,254,1079,-386,3
278,254,157,1191,3
278,254,1117,1384,3
278,254,1172,433,3
278,254,839,943,3
278,254,302,1015,3
278,254,-176,2167,3
278,254,877,133,3
278,254,1874,948,3
278,254,944,189,3
278,254,-776,-368,3
278,254,1371,251,3
278,254,446,1825,3
278,254,1044,1057,3
278,254,1454,-115,3
278,254,-514,-2124,3
278,254,773,265,3
278,254,792,328,3
278,254,-1601,1015,3
278,254,75,-334,3
278,254,272,-1462,3
278,254,1260,-1046,3
278,254,-989,1682,3
278,254,979,288,3
278,254,-401,1714,3
278,254,-221,-66,3
278,254,58,-809,3
278,254,-505,1665,3
278,254,132,399,3
278,254,-348,810,3
278,254,512,950,3
278,254,1227,-541,3
278,254,-626,801,3
278,254,-364,-150,3
278,254,795,615,3
278,254,963,784,3
278,254,1000,-607,3
278,254,889,836,3
278,254,-2478,-459,3
278,254,-1335,1388,3
278,254,-1839,78,3
278,254,1253,959,3
278,254,299,-1086,3
278,254,-299,1192,3
278,254,-397,790,3
278,254,864,1361,3
278,254,1591,762,3
278,254,-280,229,3
278,254,1018,8,3
278,254,-842,126,3
278,254,1005,1385,3
278,254,68,226,3
278,254,1301,535,3
