label,x,y,size,level
Humanidades,278,254,3,0
Wikidata,345,232,3,1
Wikimedia Commons,218,125,3,1
Wikiversidad,598,728,3,1
Alejandría,-420,-1345,3,1
Allan Bloom,586,-59,3,1
Anatomía,-914,1923,3,1
Antigüedad clásica,-519,-790,3,1
Antigüedad grecorromana,-602,-836,3,1
Antihumanismo,442,578,3,1
Antropología,-392,984,3,1
Antropología física,-832,1600,3,1
Aritmética,497,1992,3,1
Art & Architecture Thesaurus,4,402,3,1
Arte,-165,-1185,3,1
Artes escénicas,-661,-1644,3,1
Artes liberales,94,-507,3,1
Astronomía,1948,1177,3,1
Bachillerato en España,2086,-405,3,1
Bertrand Russell,753,1147,3,1
Biblioteca Nacional de Israel,2,165,3,1
Biblioteca Nacional de la Dieta,203,325,3,1
Biblioteca Nacional de la República Checa,142,95,3,1
Biblioteconomía,816,500,3,1
Budismo,-1291,1069,3,1
Campo de estudio,499,457,3,1
Canon occidental,699,-1282,3,1
Ciencia,614,1104,3,1
Ciencia cognitiva,577,1330,3,1
Ciencia natural,1425,1392,3,1
Ciencia social,116,895,3,1
Ciencias de la comunicación,663,447,3,1
Ciencias de la religión,-334,169,3,1
Ciencias del espíritu,432,277,3,1
Ciencias humanas,491,209,3,1
Ciencias sociales,217,878,3,1
Civilización occidental,-652,-400,3,1
Clásicos,633,-924,3,1
Cognición,690,933,3,1
Condición humana,-28,714,3,1
Confucianismo,-743,782,3,1
Constructivismo (filosofía),868,1166,3,1
Constructivismo (pedagogía),498,1194,3,1
Contrato,-1450,-971,3,1
Control de autoridades,231,207,3,1
Cristianismo,-1574,-385,3,1
Criterio de demarcación,1181,1091,3,1
Crítica de arte,147,-887,3,1
Crítica de la fuente,1686,146,3,1
Crítica literaria,1504,-841,3,1
Cultura,-225,715,3,1
Cálculo,1000,1895,3,1
Dante,482,-969,3,1
Debate de las dos culturas,1002,166,3,1
Democracia,-1253,228,3,1
Derecho,-1095,-121,3,1
Derecho de propiedad,-1387,37,3,1
Derecho de sociedades,-847,-51,3,1
Derecho laboral,-1321,-392,3,1
Dioscórides de Samos,-250,-2290,3,1
Disciplinas académicas,487,421,3,1
Documentación,952,679,3,1
Drama,1058,-1155,3,1
Edgar Morin,-88,383,3,1
Educación,-284,479,3,1
Enciclopedia Británica,46,-116,3,1
Entendimiento,414,930,3,1
